id,customer_id,name,start_date,target_go_live_date,status,budget_amount
1,1,Core Rollout,2025-12-18,2026-02-10,In Progress,60000.0
2,1,Portal Launch,2026-01-04,2026-03-01,In Progress,45000.0
3,2,POS Upgrade,2025-11-25,2026-01-20,Done,90000.0
4,2,Loyalty Setup,2026-01-06,2026-03-10,In Progress,70000.0
5,3,Supplier Hub,2025-12-30,2026-02-20,In Progress,33000.0
6,3,Reporting Setup,2026-01-12,2026-03-05,Planned,25000.0
7,4,Workflow Upgrade,2025-12-15,2026-02-12,In Progress,80000.0
8,4,CRM Integration,2026-01-02,2026-03-15,In Progress,70000.0
9,5,Scheduling Deployment,2025-12-28,2026-02-28,Blocked,50000.0
10,5,Asset Dashboard,2026-01-08,2026-03-20,In Progress,41000.0
11,6,Intake Digitization,2025-11-30,2026-01-25,Done,65000.0
12,6,Lab Integration,2026-01-05,2026-03-08,In Progress,55000.0
13,7,Checkout Optimization,2025-12-22,2026-02-18,In Progress,48000.0
14,7,Returns Automation,2026-01-03,2026-03-02,Blocked,45000.0
15,8,Maintenance Portal,2026-01-01,2026-02-25,In Progress,55000.0
16,8,Onboarding Flow,2026-01-18,2026-03-25,Planned,38000.0
17,9,Cost Control Rollout,2025-11-20,2026-01-18,Done,72000.0
18,9,Site Reporting,2025-12-26,2026-02-22,In Progress,60000.0
19,9,Vendor Portal,2026-01-07,2026-03-12,In Progress,60000.0
20,9,Utilization Dashboard,2026-01-10,2026-03-18,In Progress,52000.0
