id,project_id,cost_date,category,amount,currency
1,1,2025-12-20,Vendor,14000.0,EUR
2,1,2026-01-05,Internal,12000.0,EUR
3,1,2026-01-12,Infra,8500.0,EUR
4,1,2026-01-17,Support,6000.0,EUR
5,1,2026-01-19,Travel,1500.0,EUR
6,1,2026-01-21,Internal,11500.0,EUR
7,2,2026-01-06,Vendor,11000.0,EUR
8,2,2026-01-10,Internal,9000.0,EUR
9,2,2026-01-14,Infra,5200.0,EUR
10,2,2026-01-18,Support,4200.0,EUR
11,2,2026-01-20,Travel,1800.0,EUR
12,2,2026-01-23,Internal,8000.0,EUR
13,3,2025-11-26,Vendor,30000.0,EUR
14,3,2025-12-05,Internal,18000.0,EUR
15,3,2025-12-18,Infra,9500.0,EUR
16,3,2026-01-06,Support,6200.0,EUR
17,3,2026-01-10,Travel,2500.0,EUR
18,3,2026-01-15,Internal,15000.0,EUR
19,4,2026-01-08,Vendor,20000.0,EUR
20,4,2026-01-12,Internal,12000.0,EUR
21,4,2026-01-16,Infra,7000.0,EUR
22,4,2026-01-20,Support,5600.0,EUR
23,4,2026-01-22,Travel,2000.0,EUR
24,4,2026-01-26,Internal,10000.0,EUR
25,5,2026-01-03,Vendor,9000.0,EUR
26,5,2026-01-08,Internal,7500.0,EUR
27,5,2026-01-12,Support,2600.0,EUR
28,5,2026-01-15,Infra,4200.0,EUR
29,5,2026-01-18,Travel,1200.0,EUR
30,5,2026-01-21,Internal,8100.0,EUR
31,6,2026-01-12,Vendor,1200.0,EUR
32,6,2026-01-14,Internal,800.0,EUR
33,6,2026-01-16,Support,400.0,EUR
34,6,2026-01-18,Infra,300.0,EUR
35,6,2026-01-20,Travel,200.0,EUR
36,6,2026-01-21,Internal,300.0,EUR
37,7,2025-12-18,Vendor,42000.0,EUR
38,7,2026-01-08,Internal,18000.0,EUR
39,7,2026-01-12,Infra,12000.0,EUR
40,7,2026-01-16,Support,8000.0,EUR
41,7,2026-01-19,Travel,2000.0,EUR
42,7,2026-01-21,Internal,16000.0,EUR
43,8,2026-01-05,Internal,1700.0,EUR
44,8,2026-01-15,Vendor,14000.0,EUR
45,8,2026-01-16,Internal,9000.0,EUR
46,8,2026-01-17,Infra,6200.0,EUR
47,8,2026-01-19,Support,5200.0,EUR
48,8,2026-01-21,Vendor,12600.0,EUR
49,9,2025-12-29,Vendor,16000.0,EUR
50,9,2026-01-06,Internal,9000.0,EUR
51,9,2026-01-10,Support,3200.0,EUR
52,9,2026-01-14,Infra,3800.0,EUR
53,9,2026-01-18,Travel,700.0,EUR
54,9,2026-01-20,Internal,500.0,EUR
55,10,2026-01-09,Vendor,13000.0,EUR
56,10,2026-01-12,Internal,9000.0,EUR
57,10,2026-01-16,Infra,5200.0,EUR
58,10,2026-01-20,Support,4100.0,EUR
59,10,2026-01-22,Travel,1200.0,EUR
60,10,2026-01-25,Internal,7600.0,EUR
61,11,2025-12-01,Vendor,22000.0,EUR
62,11,2025-12-12,Internal,16000.0,EUR
63,11,2025-12-28,Infra,7200.0,EUR
64,11,2026-01-10,Support,5200.0,EUR
65,11,2026-01-14,Travel,1500.0,EUR
66,11,2026-01-18,Internal,8500.0,EUR
67,12,2026-01-06,Vendor,16000.0,EUR
68,12,2026-01-10,Internal,11000.0,EUR
69,12,2026-01-14,Infra,6400.0,EUR
70,12,2026-01-18,Support,3800.0,EUR
71,12,2026-01-20,Travel,900.0,EUR
72,12,2026-01-23,Internal,4100.0,EUR
73,13,2025-12-26,Vendor,15000.0,EUR
74,13,2026-01-04,Internal,9000.0,EUR
75,13,2026-01-10,Support,3400.0,EUR
76,13,2026-01-13,Infra,5600.0,EUR
77,13,2026-01-17,Travel,1100.0,EUR
78,13,2026-01-21,Internal,7300.0,EUR
79,14,2026-01-06,Vendor,21000.0,EUR
80,14,2026-01-10,Internal,12000.0,EUR
81,14,2026-01-14,Infra,7000.0,EUR
82,14,2026-01-16,Support,6000.0,EUR
83,14,2026-01-18,Travel,1000.0,EUR
84,14,2026-01-20,Internal,5000.0,EUR
85,15,2026-01-07,Internal,1800.0,EUR
86,15,2026-01-15,Vendor,12000.0,EUR
87,15,2026-01-16,Internal,8200.0,EUR
88,15,2026-01-18,Infra,6100.0,EUR
89,15,2026-01-20,Support,5200.0,EUR
90,15,2026-01-21,Vendor,10000.0,EUR
91,16,2026-01-10,Vendor,1200.0,EUR
92,16,2026-01-11,Internal,700.0,EUR
93,16,2026-01-22,Support,400.0,EUR
94,16,2026-01-21,Infra,300.0,EUR
95,16,2026-01-22,Travel,200.0,EUR
96,16,2026-01-23,Internal,0.0,EUR
97,17,2025-11-22,Vendor,26000.0,EUR
98,17,2025-12-03,Internal,17000.0,EUR
99,17,2025-12-20,Infra,8800.0,EUR
100,17,2026-01-09,Support,5200.0,EUR
101,17,2026-01-12,Travel,1600.0,EUR
102,17,2026-01-16,Internal,8200.0,EUR
103,18,2025-12-29,Vendor,18000.0,EUR
104,18,2026-01-06,Internal,14000.0,EUR
105,18,2026-01-10,Infra,7600.0,EUR
106,18,2026-01-14,Support,4300.0,EUR
107,18,2026-01-18,Travel,1100.0,EUR
108,18,2026-01-21,Internal,4700.0,EUR
109,19,2026-01-10,Vendor,28000.0,EUR
110,19,2026-01-12,Internal,14000.0,EUR
111,19,2026-01-16,Infra,9000.0,EUR
112,19,2026-01-18,Support,7000.0,EUR
113,19,2026-01-20,Travel,1000.0,EUR
114,19,2026-01-21,Vendor,13000.0,EUR
115,20,2026-01-12,Vendor,14000.0,EUR
116,20,2026-01-15,Internal,9800.0,EUR
117,20,2026-01-19,Infra,6200.0,EUR
118,20,2026-01-21,Support,3500.0,EUR
119,20,2026-01-24,Travel,900.0,EUR
120,20,2026-01-27,Internal,6200.0,EUR
